Korean name,Matched ingredient,Flavor profiles
다진풋고추,pepper c. chinense,"sweet, new mown hay, green, tonka, bitter, bitter, musty, coffee, cocoa, nutty, almond, sulfurous, potato, onion, vegetable, sweet, soup, prune, cananga, floral, wintergreen, lettuce, sweet, almond, herb, phenolic, lemon, citrus, bitter, sweet, sharp, mint, ether, waxy, grape, sweet, rum, fruity, citrus, rose, waxy, floral, sweet, fruity, geranium, odorless, sweet, butterscotch, caramel, sweet, candy, bitter, magnolia, jasmine, fresh, waxy, floral, oily, melon, petal, phenolic, balsamic, mild, bitter, bitter, sulfur, garlic, gasoline, decomposing cabbage, bitter, cherry, almond, sweet, burnt sugar, sharp, strong, bitter, berry, balsamic, rose, floral, walnut, sweet, cherry, phenolic, flower, grapefruit, sweet, bitter, bitter, grassy, very mild, bitter, odorless, sweet, sour, odorless, mild, odorless, bitter, shrimp, ammoniacal, menthol, camphor, peppermint, deep, herbal, raspberry, bitter, camphoraceous, leafy, grass, sweaty, tallow, fat, fresh, fatty, fruity, aldehydic, green, waxy, rose, lavender, green, floral, bitter, bitter, roasted, onion, malt, wine, fruity, apple, fresh, banana, sweet, fruity, grassy, green, nutty, faint, phenolic, vanilla, chocolate, sweet, creamy, oil, powdery, cinnamic, bitter, sweet, balsam, hyacinth, spicy, green, hyacinth, spicy, powdery, sweet, cinnamic, balsam, green, bitter, peppery, mustard, garlic, onion, fish, pungent, mustard, pungent, bitter, carnation, clove, floral, sweet, woody, flower, spicy, phenolic, bland, tobacco, rose, floral, sweet, honey, fruity, tropical, honeysuckle, sour, waxy, floral, sweet, honey, civet, flower, malt, fresh, floral, pungent, aldehydic, green, bitter, apple, fatty, fruity, leaf, grassy, weedy, green, spice, warm, red hots, paint, clove, sweet, candy, cinnamon, odorless, pepper, apple, mushroom, citrus, musty, rubber, nutty, green, hazelnut, bitter, lemongrass, minty, mint, fresh, peppermint, sweet, cool, minty, green, potato, vegetable, tomato, fishy, musty, earthy, creamy, peanut, cooked potato, beef, lilac, rose, rose water, honey, rose flower, floral, spice, bitter, rose dried, camphoraceous, minty, sweet, mentholic, sour, odorless, lemon, citrus, soap, orange peel, fat, waxy, fatty, aldehydic, green, bitter, bitter, hyacinth, honey, clover, sweet, hawthorne, cocoa, grapefruit, green, peanut, floral, bitter, bitter, oil, pineapple, balsamic, herbal, strawberry, oily, faint, sweet, balsam, cherry, almond, herb, cheese, leafy, alcohol, pepper, wine, green, fresh, fruit, unripe banana, fruity, leaf, walnut, moss, bitter, fresh, fatty, earthy, intensely, green, balsamic, rose, fatty, sweet, musk, cinnamon, pineapple, ethereal, sweet, anise, fruity, balsam, weedy, green, oil, alcoholic, burnt, whiskey, malt, banana, fusel, fruity, solvent, alcohol, whiskey, wine, earthy, cocoa, pungent, nutty, ethereal, pungent, tropical, metallic, spicy, green, lemon, lemon peel, sweet, citral, brown, sweet, pungent, fruity, cherry, nutty, almond, ethereal, acetone, ether, floral, sweet, fruity, mild, cherry, almond, herbal, woody, thyme, wood, medicine, dry, burnt, jasmine, mothball, animal, fishy, floral, moth ball, naphthelene, honey, fecal, waxy, bitter, fatty, cheese, creamy, citrus, ozone, fat, herbal, fresh, wine-lee, rancid, fatty, aldehydic, green, odorless, solvent, apple, pear, ethereal, ethereal, ether, fruity, acetone, camphor, butter, caramel, oily, creamy, sweet, pungent, strong, acidic, odorless, bitter, woody, sweet, balsam, nutty, almond, storax, sweet, honey, balsam, floral, minty, bitter, almond, medical, bitter, dry, balsam, balsamic, peach, sour, chocolate, ethereal, malt, fatty, aldehydic, orange, linden, mild, clove, fresh, waxy, floral, muguet, sweet, anise, lily, balsam, angelica, pear, grapefruit"
동치미무,radish,"sweet, new mown hay, green, tonka, bitter, bitter, bitter, musty, coffee, cocoa, nutty, almond, sulfurous, potato, onion, vegetable, sweet, soup, prune, cananga, floral, wintergreen, lettuce, sweet, almond, herb, phenolic, lemon, citrus, bitter, sweet, sharp, mint, solvent, ether, wine, bitter, horseradish, watercress, bitter, green, gooseberry, ether, waxy, grape, sweet, rum, fruity, sharp, green, citrus, rose, waxy, floral, sweet, fruity, geranium, odorless, sweet, butterscotch, caramel, sweet, candy, bitter, magnolia, jasmine, fresh, waxy, floral, oily, melon, petal, phenolic, balsamic, mild, bitter, bitter, sulfur, garlic, gasoline, decomposing cabbage, bitter, cherry, almond, sweet, burnt sugar, sharp, strong, bitter, berry, balsamic, rose, floral, walnut, sweet, cherry, phenolic, flower, grapefruit, sweet, bitter, bitter, grassy, very mild, bitter, odorless, sweet, sour, odorless, mild, odorless, bitter, shrimp, ammoniacal, menthol, camphor, peppermint, deep, herbal, raspberry, bitter, camphoraceous, leafy, grass, sweaty, tallow, fat, fresh, fatty, fruity, aldehydic, green, waxy, rose, lavender, green, floral, bitter, bitter, roasted, onion, malt, wine, fruity, apple, fresh, banana, sweet, fruity, grassy, green, sour, cheesy, sweat, rancid, cheese, nutty, faint, phenolic, vanilla, chocolate, sweet, creamy, citrus, cabbage, sulfurous, putrid, wine_like, onion, vegetable, fatty, floral, earthy, woody, fruity, herbaceous, nutty, meaty, spicy, green, oil, powdery, cinnamic, bitter, sweet, balsam, hyacinth, spicy, green, hyacinth, spicy, powdery, sweet, cinnamic, balsam, green, bitter, peppery, mustard, garlic, onion, fish, pungent, mustard, pungent, ammoniacal, fishy, bitter, alkaline, egg, animal, ammoniacal, amine, carnation, clove, floral, sweet, woody, flower, spicy, phenolic, bland, leafy, grass, foliage, vegetable, herbal, fresh, cut grass, oily, green, tobacco, rose, floral, sweet, honey, fruity, tropical, honeysuckle, sour, waxy, floral, sweet, honey, civet, flower, malt, fresh, floral, pungent, aldehydic, green, bitter, apple, fatty, fruity, leaf, grassy, weedy, green, spice, warm, red hots, paint, clove, sweet, candy, cinnamon, leafy, apple, cheesy, vegetable, fat, banana, rancid, fatty, sweet, plum, fruity, aldehydic, almond, green, cabbage, radish, odorless, pepper, apple, mushroom, citrus, musty, rubber, nutty, green, hazelnut, bitter, lemongrass, minty, mint, fresh, peppermint, sweet, cool, minty, green, cream, nut, tart, ether, vegetable, earthy, fruit, sweet, honey, green, bitter, potato, vegetable, tomato, fishy, musty, earthy, creamy, peanut, cooked potato, beef, lilac, rose, rose water, honey, rose flower, floral, spice, bitter, rose dried, camphoraceous, minty, sweet, mentholic, sour, odorless, lemon, citrus, soap, orange peel, fat, waxy, fatty, aldehydic, green, bitter, mild, sour, bitter, sulfur, cabbage, sulfurous, onion, fish, savory, meaty, cooked, bitter, hyacinth, honey, clover, sweet, hawthorne, cocoa, grapefruit, green, peanut, floral, bitter, bitter, oil, pineapple, balsamic, herbal, strawberry, oily, faint, sweet, balsam, cherry, almond, herb, cheese, leafy, alcohol, pepper, wine, green, fresh, fruit, unripe banana, fruity, leaf, walnut, sulfurous, garlic, onion, horseradish, metallic, coconut, mild, fatty, metal, bay oil, cheesy, sweat, vegetable, waxy, fatty, rancid, oily, cheese, moss, bitter, fresh, fatty, earthy, intensely, green, bitter, oil, alcoholic, burnt, whiskey, malt, banana, fusel, fruity, balsamic, rose, fatty, sweet, musk, cinnamon, pineapple, ethereal, sweet, anise, fruity, balsam, weedy, green, solvent, alcohol, whiskey, wine, earthy, cocoa, pungent, nutty, ethereal, pungent, tropical, metallic, spicy, green, lemon, lemon peel, sweet, citral, brown, sweet, pungent, fruity, cherry, nutty, almond, ethereal, acetone, ether, floral, sweet, fruity, mild, cherry, almond, herbal, woody, thyme, wood, medicine, dry, burnt, jasmine, mothball, animal, fishy, floral, moth ball, naphthelene, honey, fecal, waxy, bitter, fatty, cheese, creamy, bitter, citrus, ozone, fat, herbal, fresh, wine-lee, rancid, fatty, aldehydic, green, odorless, solvent, apple, pear, ethereal, ethereal, ether, fruity, acetone, camphor, butter, caramel, oily, creamy, sweet, pungent, strong, acidic, odorless, bitter, woody, sweet, balsam, nutty, almond, storax, sweet, honey, balsam, floral, minty, bitter, almond, medical, bitter, dry, balsam, balsamic, peach, sour, chocolate, ethereal, malt, fatty, aldehydic, orange, linden, mild, clove, fresh, waxy, floral, muguet, sweet, anise, lily, balsam, angelica, pear, grapefruit"
다진 마늘,garlic,"bland, sweet, new mown hay, green, tonka, bitter, prune, cananga, floral, wintergreen, lettuce, sweet, almond, herb, phenolic, powdery, vanilla, bean, milky, sweet, creamy, dairy, ether, waxy, grape, sweet, rum, fruity, citrus, rose, waxy, floral, sweet, fruity, geranium, odorless, sweet, butterscotch, caramel, sweet, candy, bitter, ethereal, anisic, fruit, pungent, fruity, nutty, green, odorless, sweet, sulfur, garlic, gasoline, decomposing cabbage, bitter, cherry, almond, sweet, burnt sugar, sharp, strong, bitter, berry, balsamic, rose, floral, walnut, sweet, cherry, phenolic, flower, grapefruit, sweet, bitter, bitter, garlic, onion, alliaceous, green, odorless, bitter, roast beef, roasted nuts, coffee, cocoa, roasted nut, sulfurous, cabbage, onion, sweet, gassy, natural, leafy, grass, sweaty, tallow, fat, fresh, fatty, fruity, aldehydic, green, bitter, roasted, onion, malt, wine, fruity, sour, cheesy, sweat, rancid, cheese, nutty, faint, phenolic, vanilla, chocolate, sweet, creamy, citrus, cabbage, sulfurous, putrid, wine_like, onion, vegetable, fatty, floral, earthy, woody, fruity, herbaceous, nutty, meaty, spicy, green, oil, powdery, cinnamic, bitter, sweet, balsam, hyacinth, spicy, green, hyacinth, spicy, powdery, sweet, cinnamic, balsam, green, bitter, peppery, mustard, garlic, onion, fish, pungent, bitter, sulfurous, roasted, garlic, onion, alliaceous, potato, tomato, sulfury, malty, green, carnation, clove, floral, sweet, woody, flower, spicy, phenolic, bland, tobacco, rose, floral, sweet, honey, fruity, tropical, honeysuckle, sour, waxy, floral, sweet, honey, civet, flower, cherry, garlic, onion, alliaceous, green, apple, fatty, fruity, leaf, grassy, weedy, green, spice, warm, red hots, paint, clove, sweet, candy, cinnamon, garlic, onion, creamy, alliaceous, odorless, minty, mint, fresh, peppermint, sweet, cool, minty, green, lilac, rose, rose water, honey, rose flower, floral, spice, bitter, rose dried, camphoraceous, minty, sweet, mentholic, nutty, sulfury, sour, odorless, bitter, sulfur, cabbage, sulfurous, onion, fish, savory, meaty, cooked, bitter, hyacinth, honey, clover, sweet, hawthorne, cocoa, grapefruit, green, peanut, floral, bitter, leafy, alcohol, pepper, wine, green, fresh, fruit, unripe banana, fruity, leaf, walnut, bitter, balsamic, rose, fatty, sweet, musk, cinnamon, oil, alcoholic, burnt, whiskey, malt, banana, fusel, fruity, solvent, alcohol, whiskey, wine, earthy, cocoa, pungent, nutty, floral, sweet, fruity, mild, cherry, almond, herbal, woody, thyme, wood, medicine, dry, burnt, jasmine, mothball, animal, fishy, floral, moth ball, naphthelene, honey, fecal, waxy, bitter, fatty, cheese, creamy, roasted, cooked, odorless, butter, caramel, oily, creamy, sweet, pungent, strong, bitter, storax, sweet, honey, balsam, floral, minty, ethereal, fruity, green, vegetable, musty, cocoa, root, nutty, garlic, onion, alliaceous, green, almond, medical, bitter, dry, bitter, mustard, onion, tomato, radish, sulfury, garlic, onion, peach, sour, chocolate, ethereal, malt, fatty, aldehydic, sulfurous, garlic, onion, metallic, green, orange, linden, mild, clove, fresh, waxy, floral, muguet, sweet, anise, lily, balsam, angelica, pear, grapefruit, bitter, musty, coffee, cocoa, nutty, almond, sulfurous, potato, onion, vegetable, sweet, soup, lemon, citrus, bitter, sweet, sharp, mint, magnolia, jasmine, fresh, waxy, floral, oily, melon, petal, phenolic, balsamic, mild, bitter, bitter, smoke, powdery, balsamic, smoky, bacon, phenol, woody, medicine, phenolic, oil, alcoholic, ethereal, resin, fusel, sweet, fruity, flower, green, roast, roasted, potato, cocoa, nutty, grassy, very mild, bitter, odorless, sweet, sour, odorless, mild, odorless, shrimp, ammoniacal, menthol, camphor, peppermint, deep, herbal, raspberry, bitter, camphoraceous, sulfur, garlic, cabbage, meaty, waxy, rose, lavender, green, floral, bitter, apple, fresh, banana, sweet, fruity, grassy, green, mint, citrus, peppery, spice, herbal, turpentine, woody, terpene, green, mustard, pungent, mint, terpentine, sulfur, sulfurous, cabbage, onion, gasoline, vegetable, sulfury, sweet corn, tomato, radish, wild, green, bitter, malt, fresh, floral, pungent, aldehydic, green, citrus, lime, wax, herbal, sweet, bergamot, lavender, pine, strong, garlic, onion, pepper, apple, mushroom, citrus, musty, rubber, nutty, green, hazelnut, bitter, lemongrass, roast beef, roasted nuts, grass, medical, cocoa, woody, medicine, roasted nut, medicinal, bitter, potato, vegetable, tomato, fishy, musty, earthy, creamy, peanut, cooked potato, beef, lemon, citrus, soap, orange peel, fat, waxy, fatty, aldehydic, green, mild, sour, bitter, bitter, oil, pineapple, balsamic, herbal, strawberry, oily, faint, sweet, balsam, cherry, almond, herb, cheese, sulfurous, garlic, onion, horseradish, metallic, moss, bitter, fresh, fatty, earthy, intensely, green, pineapple, ethereal, sweet, anise, fruity, balsam, weedy, green, ethereal, pungent, tropical, metallic, spicy, green, lemon, lemon peel, sweet, citral, brown, sweet, pungent, fruity, cherry, nutty, almond, ethereal, acetone, ether, garlic, onion, metallic, alliaceous, bland, sulfurous, alliaceous, citrus, ozone, fat, herbal, fresh, wine-lee, rancid, fatty, aldehydic, green, solvent, apple, pear, ethereal, ethereal, ether, fruity, acetone, camphor, acidic, odorless, woody, sweet, balsam, nutty, almond, burnt, onion, sulfury, earthy, green, garlic, onion, metallic, green, bitter, balsam, balsamic, mild, vanilla, musty, camphor, phenolic, lemon, citrus, orange, floral, sweet, woody, blueberry, bois de rose, lavender, flower, green, roasted, alliaceous"
홍피망,cherry pepper,"mint, pepper, herbal, eucalyptus, sweet, camphor, bready, fermented, berry, malt, pungent, fruity, nutty, almond, clove, sweet, woody, honey, spicy, cinnamon, peppery, spice, balsamic, must, balsam, terpene, spicy, plastic, overripe fruit, banana, fruit, sweet, peanut, juicy, citrus, coumarin, must, floral, sweet, fruity, cherry, camphor, prune, cananga, floral, wintergreen, lettuce, sweet, almond, herb, phenolic, mint, citrus, peppery, spice, herbal, turpentine, woody, terpene, green, citrus, fresh, sweet, woody, pine, plastic, carnation, clove, floral, sweet, woody, flower, spicy, phenolic, dry, celery, wintergreen, grape, cherry, fruity, sweet, plum, anise, musty, camomile, balsam, strawberry, fruit, minty, berry, cranberry, raspberry, bitter, banana, flower, coconut, sweet, balsam, mesquite, clove, peach, anise, musty, creamy, carnation, bitter, oily, spicy, chocolate, warm, raspberry, spice, apricot, vanilla, banana, cinnamon, fresh, plum"
우동면,pasta,"sweet, new mown hay, green, tonka, bitter, bitter, musty, coffee, cocoa, nutty, almond, sulfurous, potato, onion, vegetable, sweet, soup, prune, cananga, floral, wintergreen, lettuce, sweet, almond, herb, phenolic, lemon, citrus, bitter, sweet, sharp, mint, ether, waxy, grape, sweet, rum, fruity, citrus, rose, waxy, floral, sweet, fruity, geranium, odorless, sweet, butterscotch, caramel, sweet, candy, bitter, magnolia, jasmine, fresh, waxy, floral, oily, melon, petal, phenolic, balsamic, mild, bitter, bitter, sulfur, garlic, gasoline, decomposing cabbage, bitter, cherry, almond, sweet, burnt sugar, sharp, strong, bitter, berry, balsamic, rose, floral, walnut, sweet, cherry, phenolic, flower, grapefruit, sweet, bitter, bitter, grassy, very mild, bitter, odorless, sweet, sour, odorless, mild, odorless, bitter, shrimp, ammoniacal, menthol, camphor, peppermint, deep, herbal, raspberry, bitter, camphoraceous, leafy, grass, sweaty, tallow, fat, fresh, fatty, fruity, aldehydic, green, waxy, rose, lavender, green, floral, bitter, bitter, roasted, onion, malt, wine, fruity, apple, fresh, banana, sweet, fruity, grassy, green, sour, cheesy, sweat, rancid, cheese, nutty, faint, phenolic, vanilla, chocolate, sweet, creamy, oil, powdery, cinnamic, bitter, sweet, balsam, hyacinth, spicy, green, hyacinth, spicy, powdery, sweet, cinnamic, balsam, green, bitter, peppery, mustard, garlic, onion, fish, pungent, mustard, pungent, bitter, carnation, clove, floral, sweet, woody, flower, spicy, phenolic, bland, tobacco, rose, floral, sweet, honey, fruity, tropical, honeysuckle, sour, waxy, floral, sweet, honey, civet, flower, malt, fresh, floral, pungent, aldehydic, green, bitter, apple, fatty, fruity, leaf, grassy, weedy, green, spice, warm, red hots, paint, clove, sweet, candy, cinnamon, odorless, pepper, apple, mushroom, citrus, musty, rubber, nutty, green, hazelnut, bitter, lemongrass, minty, mint, fresh, peppermint, sweet, cool, minty, green, potato, vegetable, tomato, fishy, musty, earthy, creamy, peanut, cooked potato, beef, lilac, rose, rose water, honey, rose flower, floral, spice, bitter, rose dried, camphoraceous, minty, sweet, mentholic, sour, odorless, lemon, citrus, soap, orange peel, fat, waxy, fatty, aldehydic, green, bitter, mild, sour, bitter, bitter, hyacinth, honey, clover, sweet, hawthorne, cocoa, grapefruit, green, peanut, floral, bitter, bitter, oil, pineapple, balsamic, herbal, strawberry, oily, faint, sweet, balsam, cherry, almond, herb, cheese, leafy, alcohol, pepper, wine, green, fresh, fruit, unripe banana, fruity, leaf, walnut, moss, bitter, fresh, fatty, earthy, intensely, green, bitter, balsamic, rose, fatty, sweet, musk, cinnamon, pineapple, ethereal, sweet, anise, fruity, balsam, weedy, green, oil, alcoholic, burnt, whiskey, malt, banana, fusel, fruity, solvent, alcohol, whiskey, wine, earthy, cocoa, pungent, nutty, ethereal, pungent, tropical, metallic, spicy, green, lemon, lemon peel, sweet, citral, brown, sweet, pungent, fruity, cherry, nutty, almond, ethereal, acetone, ether, floral, sweet, fruity, mild, cherry, almond, herbal, woody, thyme, wood, medicine, dry, burnt, jasmine, mothball, animal, fishy, floral, moth ball, naphthelene, honey, fecal, waxy, bitter, fatty, cheese, creamy, citrus, ozone, fat, herbal, fresh, wine-lee, rancid, fatty, aldehydic, green, odorless, solvent, apple, pear, ethereal, ethereal, ether, fruity, acetone, camphor, butter, caramel, oily, creamy, sweet, pungent, strong, acidic, odorless, bitter, woody, sweet, balsam, nutty, almond, storax, sweet, honey, balsam, floral, minty, bitter, almond, medical, bitter, dry, balsam, balsamic, peach, sour, chocolate, ethereal, malt, fatty, aldehydic, orange, linden, mild, clove, fresh, waxy, floral, muguet, sweet, anise, lily, balsam, angelica, pear, grapefruit"
계란노른자,egg,"faint, very strong, mothball, animal, fecal, indole, civet, roast beef, roasted nuts, grass, medical, cocoa, woody, medicine, roasted nut, medicinal, solvent, spice, herbal, sharp, fruity, dairy, green, musty, coffee, cocoa, nutty, almond, balsamic, gasoline, floral, sweet, balsam, plastic, ethereal, sulfurous, apple, pineapple, ether, banana, fruit, sweet, fruity, raw, fishy, oily, earthy, fungal, chicken, mushroom, green, potato, vegetable, tomato, fishy, musty, earthy, creamy, peanut, cooked potato, beef, odorless, butter, green bean, vegetable, earthy, beany, fruity, metallic, green, ether, waxy, grape, sweet, rum, fruity, mild, sour, bitter, lemon, citrus, soap, orange peel, fat, waxy, fatty, aldehydic, green, burnt, orange, rose, waxy, chemical, metal, aldehydic, mushroom, green, roast, ethereal, bacon, chemical, gravy, beef, meaty, earthy, sweet, burnt, malty, burnt, jasmine, mothball, animal, fishy, floral, moth ball, naphthelene, honey, fecal, medical, leather, woody, fecal, phenolic, medicinal, plastic, vegetable, tomato, nutty, roasted meat, green, citrus, clean clothes, rose, waxy, fresh, mandarin, floral, soapy, woody, bitter, musty, alcohol, citrus, lime, orange peel, rose, fat, green, fishy, waxy, fresh, fatty, peely, aldehydic, orris, grapefruit, sour, cheesy, sweat, rancid, cheese, hazelnut, roasted, barley, sweet corn, pungent, odorless, citrus, cabbage, sulfurous, putrid, wine_like, onion, vegetable, fatty, floral, earthy, woody, fruity, herbaceous, nutty, meaty, spicy, green, hyacinth, honey, clover, sweet, hawthorne, cocoa, grapefruit, green, peanut, floral, bitter, ethereal, nutty, sweet, warm, odorless, bitter, butter, cream, caramel, sweet, pungent, creamy, nutty, cheese, ethereal, anisic, fruit, pungent, fruity, nutty, green, phenol, plastic, rubber, phenolic, sulfur, garlic, gasoline, decomposing cabbage, odorless, bitter, natural, earthy, gasoline, weedy, herbal, woody, bitter, soap, sour, putrid, fishy, rancid, sickening, amine, cheesy, sweat, vegetable, waxy, fatty, rancid, oily, cheese, egg, rotten, raw, hazelnut, roast, sweat, potato, bread, musty, earthy, peanut, nutty, corn, sulfur, sulfurous, cabbage, onion, gasoline, vegetable, sulfury, sweet corn, tomato, radish, wild, green, caramel, spice, burnt sugar, maple, almond, bitter, chocolate, roasted, cocoa, peanut, nutty, popcorn, green, bland, cooling, tobacco, mentholic, peppermint, camphoraceous, minty, grassy, very mild, butter, pungent, tropical, horseradish, green, vegetable, bitter, fruity, solvent, alcohol, whiskey, wine, earthy, cocoa, pungent, nutty, smoke, animal, narcissus, phenol, mimosa, medicine, medicinal, phenolic, potato, alcohol, ether, ethereal, wine, banana, fishy, fruit, sweet, woody, fruity, malt, fresh, floral, pungent, aldehydic, green, peach, sour, chocolate, ethereal, malt, fatty, aldehydic"
