category,name,link
Berry,Cranberry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=229
Berry,Deerberry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=464
Berry,Elderberry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=179
Berry,Elliott'S Blueberry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=461
Berry,Gooseberry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=230
Berry,Groundcherry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=564
Berry,Jostaberry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=477
Berry,Lingonberry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=231
Berry,Loganberry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=232
Berry,Mexican Groundcherry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=660
Berry,Mulberry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=434
Berry,Nanking Cherry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=971
Berry,Ohelo Berry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=598
Berry,Pitanga,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=611
Berry,Raspberry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=233
Berry,Red Raspberry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=441
Berry,Rowanberry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=447
Berry,Salmonberry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=632
Berry,Saskatoon Berry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=970
Berry,Sea Buckthorns,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=128
Berry,Sour Cherry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=226
Berry,Sparkleberry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=453
Berry,Squashberry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=542
Berry,Strawberry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=234
Berry,Strawberry Jam,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=235
Berry,Wild Cherry,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=227
Beverage Alcoholic,Anise Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=12
Beverage Alcoholic,Apple Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=13
Beverage Alcoholic,Armagnac Brandy,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=14
