Russian name,Matched ingredient,Flavor profiles
капуста китайская,cabbage,"sweet, new mown hay, green, tonka, bitter, prune, cananga, floral, wintergreen, lettuce, sweet, almond, herb, phenolic, ether, waxy, grape, sweet, rum, fruity, citrus, rose, waxy, floral, sweet, fruity, geranium, odorless, sweet, butterscotch, caramel, sweet, candy, pineapple, strawberry, sweet, fruity, peanut, cognac, cheese, bitter, citrus, fresh, sweet, woody, pine, plastic, bitter, sulfur, garlic, gasoline, decomposing cabbage, bitter, cherry, almond, sweet, burnt sugar, sharp, strong, bitter, berry, balsamic, rose, floral, walnut, sweet, cherry, phenolic, flower, grapefruit, sweet, bitter, bitter, pungent, aromatic, horseradish, mustard, garlic, onion, alliaceous, green, odorless, bitter, horseradish, earthy, vegetable, sulfurous, acrylic, vegetable, chemical, earthy, sweet, pungent, leafy, grass, sweaty, tallow, fat, fresh, fatty, fruity, aldehydic, green, bitter, roasted, onion, malt, wine, fruity, sour, cheesy, sweat, rancid, cheese, spice, vanilla, smoky, sweet, woody, phenolic, medicine, medicinal, smoke, nutty, faint, phenolic, vanilla, chocolate, sweet, creamy, citrus, cabbage, sulfurous, putrid, wine_like, onion, vegetable, fatty, floral, earthy, woody, fruity, herbaceous, nutty, meaty, spicy, green, oil, powdery, cinnamic, bitter, sweet, balsam, hyacinth, spicy, green, hyacinth, spicy, powdery, sweet, cinnamic, balsam, green, bitter, peppery, mustard, garlic, onion, fish, pungent, bitter, potato, tomato, sulfury, malty, green, carnation, clove, floral, sweet, woody, flower, spicy, phenolic, oil, mint, citrus, lilac, floral, woody, anise, terpene, pine, bland, tobacco, rose, floral, sweet, honey, fruity, tropical, alcoholic, ethereal, medical, sweet, strong, honeysuckle, sour, waxy, floral, sweet, honey, civet, flower, fatty, orris, waxy, petal, apple, fatty, fruity, leaf, grassy, weedy, green, spice, warm, red hots, paint, clove, sweet, candy, cinnamon, hawthorne, acetophenone, coumarin, sweet, bitter almond, hawthorn, cherry, mimosa, bitter, leafy, apple, cheesy, vegetable, fat, banana, rancid, fatty, sweet, plum, fruity, aldehydic, almond, green, truffle, sulfurous, odorless, minty, fatty, mushroom, cheesy, garlic, bitter, oily, mint, fresh, peppermint, sweet, cool, minty, green, bitter, bitter, lilac, rose, rose water, honey, rose flower, floral, spice, bitter, rose dried, must, pepper, turpentine, musty, woody, sweet, nutmeg, earth, camphoraceous, minty, sweet, mentholic, musty, sweet, fruity, ethereal, mustard, pungent, garlic, sulfur, strong, bitter, sour, odorless, butter, caramel, nut, peanut butter, meat, leather, coffee, cocoa, peanut, nutty, almond, walnut, bitter, citrus, rose, fresh, floral, oily, sweet, green, wood, woody, herb, green, sulfur, cabbage, sulfurous, onion, fish, savory, meaty, cooked, bitter, hyacinth, honey, clover, sweet, hawthorne, cocoa, grapefruit, green, peanut, floral, bitter, leafy, alcohol, pepper, wine, green, fresh, fruit, unripe banana, fruity, leaf, walnut, cheesy, sweat, vegetable, waxy, fatty, rancid, oily, cheese, bitter, oil, alcoholic, burnt, whiskey, malt, banana, fusel, fruity, balsamic, rose, fatty, sweet, musk, cinnamon, herbal, earthy, fruit, fruity, herb, solvent, alcohol, whiskey, wine, earthy, cocoa, pungent, nutty, apple, sweet, banana, fruit, green, herb, bitter, fruity, watercress, mild, oily, horseradish, dusty, medicinal, floral, sweet, fruity, mild, cherry, almond, herbal, woody, thyme, wood, medicine, dry, burnt, jasmine, mothball, animal, fishy, floral, moth ball, naphthelene, honey, fecal, waxy, bitter, fatty, cheese, creamy, bitter, odorless, odorless, bitter, solvent, banana, fruity, sweet, butter, caramel, oily, creamy, sweet, pungent, strong, bitter, storax, sweet, honey, balsam, floral, minty, strong, onion, sulfurous, almond, medical, bitter, dry, mustard, onion, tomato, radish, sulfury, cabbage, radish, ammonia, fishy, butter, pungent, tropical, horseradish, green, vegetable, bitter, fruity, green, mild, rubbery, meaty, dirty, cooked, phenolic, cheesy, soy, acidic, vinegar, rancid, pungent, peach, sour, chocolate, ethereal, malt, fatty, aldehydic, orange, linden, mild, clove, fresh, waxy, floral, muguet, sweet, anise, lily, balsam, angelica, pear, grapefruit, bitter, bitter, citrus, orange, nut, wax, meat, fat, fresh, fatty, oily, cucumber, sweet, melon, pumpkin, fried, green, musty, coffee, cocoa, nutty, almond, sulfurous, potato, onion, vegetable, sweet, soup, garlic, onion, sulfurous, green, lemon, citrus, bitter, sweet, sharp, mint, horseradish, watercress, bitter, green, gooseberry, alcohol, rose, pungent, cognac, green, ethereal, bitter, sweet, bitter, ether, fruity, magnolia, jasmine, fresh, waxy, floral, oily, melon, petal, phenolic, balsamic, mild, bitter, bitter, oil, alcoholic, ethereal, resin, fusel, sweet, fruity, flower, green, egg, rotten, grassy, very mild, bitter, odorless, sweet, lemon, gasoline, tropical, terpene, turpentine, herbal, woody, bitter, oily, lime, sour, odorless, mild, mint, licorice, fennel, basil, minty, acidic, sulfurous, mild, shrimp, ammoniacal, menthol, camphor, peppermint, deep, herbal, raspberry, bitter, camphoraceous, waxy, rose, lavender, green, floral, bitter, apple, fresh, banana, sweet, fruity, grassy, green, ammoniacal, fishy, mustard, pungent, coconut, fat, waxy, creamy, soapy, mushroom, rose, herbal, violet-leaf, geranium, grassy, green, mustard, pungent, ammoniacal, fishy, bitter, lemon, citrus, terpene, medicinal, herbal, woody, bitter, camphoraceous, sulfur, sulfurous, cabbage, onion, gasoline, vegetable, sulfury, sweet corn, tomato, radish, wild, green, cooling, tobacco, mentholic, peppermint, camphoraceous, minty, bitter, malt, fresh, floral, pungent, aldehydic, green, strong, garlic, onion, earthy, beany, pea, earth, pepper, apple, mushroom, citrus, musty, rubber, nutty, green, hazelnut, bitter, lemongrass, ethereal, sulfurous, bitter, potato, vegetable, tomato, fishy, musty, earthy, creamy, peanut, cooked potato, beef, lemon, citrus, soap, orange peel, fat, waxy, fatty, aldehydic, green, mild, sour, bitter, bitter, oil, pineapple, balsamic, herbal, strawberry, oily, faint, sweet, balsam, cherry, almond, herb, cheese, moss, bitter, fresh, fatty, earthy, intensely, green, pineapple, ethereal, sweet, anise, fruity, balsam, weedy, green, ethereal, pungent, tropical, metallic, spicy, green, lemon, lemon peel, sweet, citral, bitter, brown, sweet, pungent, fruity, cherry, nutty, almond, hazelnut, cinnamon, ethereal, acetone, ether, garlic, onion, metallic, alliaceous, butterscotch, butter, tart, sharp, fruit, fruity, buttery, nut, fat, herbal, fresh, green, fatty, banana, waxy, leaf, cucumber, butter, green bean, vegetable, earthy, beany, fruity, metallic, green, bitter, citrus, ozone, fat, herbal, fresh, wine-lee, rancid, fatty, aldehydic, green, solvent, apple, pear, ethereal, celery, menthol, camphor, ethereal, ether, fruity, acetone, camphor, acidic, odorless, woody, sweet, balsam, nutty, almond, burnt, onion, sulfury, earthy, green, bitter, odorless, mild, bitter, fruity, wine, balsam, balsamic"
мякоть задней ноги барана (окорок),mutton,"lard, oily, fatty, fruity, cheese, caramellic, spicy, waxy, fatty, musty, creamy, dairy, mossy, milk, plastic, peach, butter, coconut, apricot, fresh, oily, creamy, plum, sweet, fruity, dairy, oil, coconut, waxy, fatty, creamy, cheese, coconut, herbal, milky, waxy, fatty, earthy, dairy, nutty, citrus, orange, nut, wax, meat, fat, fresh, fatty, oily, cucumber, sweet, melon, pumpkin, fried, green, alcoholic, fermented, alcohol, musty, fusel, pungent, peanut, orange, coriander, rose, tallow, waxy, oily, fatty, earthy, floral, aldehydic, mushroom, green, mild, sour, bitter, chocolate, burnt, lard, musty, coffee, cocoa, soybean, nutty, citrus, floral, sweet, spicy, green, sour, cheesy, sweat, rancid, cheese, woody, bitter, musty, alcohol, butter, caramel, oily, creamy, sweet, pungent, strong, pungent, cheese, waxy, fatty, fruity, soapy, green, waxy, green, fatty, paper, melon, cucumber, tallow, pepper, fat, herbal, fatty, mushroom, green, oil, milky, waxy, fatty, creamy, sweet, dairy, coconut, mild, fatty, metal, bay oil, peach, coconut, fatty, sweet, tropical, dairy, tonka, tobacco, oily, fatty, heavy, popcorn, corn, chip, cheesy, sweat, vegetable, waxy, fatty, rancid, oily, cheese, green, fatty, melon, pear, seaweed, cucumber, sour, sweat, acid, strawberry, roquefort cheese, pungent, cheese, butter, sweaty, waxy, green, milk, cheese, sulfur, sulfurous, cabbage, onion, gasoline, vegetable, sulfury, sweet corn, tomato, radish, wild, green, beefy, sulfurous, meaty, bitter, bland, fatty, oily, mild, jasmin, fresh, celery, grassy, very mild, mild, wax, milky, waxy, creamy, fruity, balsam, dill, buttery, broccoli, cooked, hazelnut, chocolate, vegetable, musty, coffee, cocoa, earth, nutty, honeysuckle, sour, waxy, floral, sweet, honey, civet, flower, cheesy, soy, acidic, vinegar, rancid, pungent, sweaty, fish, fishy, oily, rancid, fruity, sour, citrus, fat, rancid, fatty, unpleasant, ether, waxy, sweet, soapy, orris, violet, strong, aromatic"
рыба,fish,"fragrant, bread, woody, sweet, baked, almond, citrus, orange, nut, wax, meat, fat, fresh, fatty, oily, cucumber, sweet, melon, pumpkin, fried, green, herbal, earthy, metal, musty, mushroom, dirty, fat, fatty, fruit, fruity, grassy, mushroom, green, coconut, soap, herbal, sweet, woody, fruity, spicy, cinnamon, wax, fatty, cucumber, dry, leaf, violet, green, pungent, vinegar, formyl, nut, fat, herbal, fresh, green, fatty, banana, waxy, leaf, cucumber, raw, fishy, oily, earthy, fungal, chicken, mushroom, green, butter, green bean, vegetable, earthy, beany, fruity, metallic, green, leafy, grass, sweaty, tallow, fat, fresh, fatty, fruity, aldehydic, green, butter, herbal, resin, fresh, mushroom, sweet, lavender, herb, lemon, citrus, soap, orange peel, fat, waxy, fatty, aldehydic, green, burnt, orange, rose, waxy, chemical, metal, aldehydic, mushroom, green, rancid, butter, strawberry, cheese, bland, bitter, sour, cheesy, sweat, rancid, cheese, citrus, nut, moss, herbal, earthy, woody, melon, minty, mushroom, spicy, citrus, lime, orange peel, rose, fat, green, fishy, waxy, fresh, fatty, peely, aldehydic, orris, grapefruit, citrus, floral, sweet, spicy, green, fatty, soapy, waxy, coconut, citrus, cabbage, sulfurous, putrid, wine_like, onion, vegetable, fatty, floral, earthy, woody, fruity, herbaceous, nutty, meaty, spicy, green, pungent, cheese, phenol, plastic, rubber, phenolic, floral, sulfurous, tropical, meaty, sulfur, garlic, gasoline, decomposing cabbage, citrus, soap, orange peel, fat, fresh, sweet, fruity, green, coconut, mild, fatty, metal, bay oil, oil, laundry, citrus, waxy, fresh, floral, fatty, sweet, pungent, aldehydic, soapy, green, fatty, sour, sweat, cheese, alkaline, egg, animal, ammoniacal, amine, cheesy, sweat, vegetable, waxy, fatty, rancid, oily, cheese, green, fatty, melon, pear, seaweed, cucumber, sulfur, sulfurous, cabbage, onion, gasoline, vegetable, sulfury, sweet corn, tomato, radish, wild, green, sour, sweat, acid, stinky, sweaty, animal, rancid, tropical, feet, cheese, oil, alcoholic, burnt, whiskey, malt, banana, fusel, fruity, butter, pungent, tropical, horseradish, green, vegetable, bitter, fruity, dill, buttery, broccoli, cooked, crushed bug, nut, herbal, earthy, hay, sweet, blueberry, mushroom, spicy, potato, alcohol, ether, ethereal, wine, banana, fishy, fruit, sweet, woody, fruity, ammonia, fishy, sweaty, fish, fishy, oily, rancid, fruity, leafy, apple, cheesy, vegetable, fat, banana, rancid, fatty, sweet, plum, fruity, aldehydic, almond, green, cantaloupe, waxy, green, melon, cucumber, odorless, acidic, sulfurous, mild"
зелень кинзы,coriander,"sweet, new mown hay, green, tonka, bitter, herbal, thyme, camphor, medicinal, phenolic, prune, cananga, floral, wintergreen, lettuce, sweet, almond, herb, phenolic, powdery, vanilla, bean, milky, sweet, creamy, dairy, ether, waxy, grape, sweet, rum, fruity, waxy, fresh, citrus, rose, waxy, floral, sweet, fruity, geranium, odorless, sweet, butterscotch, caramel, sweet, candy, bitter, citrus, fresh, sweet, woody, pine, plastic, woody, pine, camphor, sulfur, garlic, gasoline, decomposing cabbage, bitter, citrus, soap, orange peel, fat, fresh, sweet, fruity, green, cherry, almond, sweet, burnt sugar, sharp, strong, bitter, berry, balsamic, rose, floral, walnut, sweet, cherry, phenolic, flower, grapefruit, sweet, bitter, bitter, nut, rooty, vegetable, earthy, fruit, tropical, green, citrus, rose, waxy, mandarin, fatty, aldehydic, soapy, crushed bug, nut, herbal, earthy, hay, sweet, blueberry, mushroom, spicy, lemon, citrus, sweet, resin, waxy, bitter, citrus, rose, leather, geranium, floral, rose bud, alkane, paint, sweet, apple, wine, fresh, fruity, metallic, buttery, green, odorless, bitter, citrus, spice, pepper, turpentine, woody, terpene, wood, pine, roast beef, roasted nuts, coffee, cocoa, roasted nut, spice, clove, sweet, woody, wood, dry, leafy, grass, sweaty, tallow, fat, fresh, fatty, fruity, aldehydic, green, waxy, mild, bitter, musty, alcohol, fenchyl, camphor, roasted, onion, malt, wine, fruity, burnt, orange, rose, waxy, chemical, metal, aldehydic, mushroom, green, chocolate, burnt, lard, musty, coffee, cocoa, soybean, nutty, sour, cheesy, sweat, rancid, cheese, wood, spice, nutty, faint, phenolic, vanilla, chocolate, sweet, creamy, oil, powdery, cinnamic, bitter, sweet, balsam, hyacinth, spicy, green, resinous, resin, turpentine, green, hay, woody, pine, dry, hyacinth, spicy, powdery, sweet, cinnamic, balsam, green, bitter, hazelnut, roast, roasted, powdery, potato, must, musty, earthy, cocoa, peanut, nutty, peppery, mustard, garlic, onion, fish, pungent, bitter, citrus, wax, waxy, floral, woody, wood, flower, green, tallow, pepper, fat, herbal, fatty, mushroom, green, oil, laundry, citrus, waxy, fresh, floral, fatty, sweet, pungent, aldehydic, soapy, green, tobacco, oily, fatty, heavy, popcorn, corn, chip, carnation, clove, floral, sweet, woody, flower, spicy, phenolic, oil, mint, citrus, lilac, floral, woody, anise, terpene, pine, bland, mint, pepper, herbal, eucalyptus, sweet, camphor, tobacco, rose, floral, sweet, honey, fruity, tropical, honeysuckle, sour, waxy, floral, sweet, honey, civet, flower, apple, fatty, fruity, leaf, grassy, weedy, green, spice, warm, red hots, paint, clove, sweet, candy, cinnamon, ether, waxy, sweet, soapy, orris, violet, leafy, apple, cheesy, vegetable, fat, banana, rancid, fatty, sweet, plum, fruity, aldehydic, almond, green, bready, fermented, berry, malt, pungent, fruity, nutty, almond, odorless, minty, mint, fresh, peppermint, sweet, cool, minty, green, citrus peel, incense, amber, wax, waxy, fatty, musk, flower, dry, lilac, rose, rose water, honey, rose flower, floral, spice, bitter, rose dried, must, pepper, turpentine, musty, woody, sweet, nutmeg, earth, citrus, herbal, sweet, woody, tropical, terpene, herb, green, camphoraceous, minty, sweet, mentholic, sour, odorless, bitter, citrus, lime, orange peel, rose, fat, green, fishy, waxy, fresh, fatty, peely, aldehydic, orris, grapefruit, wood, woody, herb, green, bitter, hyacinth, honey, clover, sweet, hawthorne, cocoa, grapefruit, green, peanut, floral, bitter, leafy, alcohol, pepper, wine, green, fresh, fruit, unripe banana, fruity, leaf, walnut, bitter, cheesy, sweat, vegetable, waxy, fatty, rancid, oily, cheese, phenolic, minty, camphor, medicinal, herbal, woody, bitter, bitter, balsamic, rose, fatty, sweet, musk, cinnamon, oil, alcoholic, burnt, whiskey, malt, banana, fusel, fruity, solvent, alcohol, whiskey, wine, earthy, cocoa, pungent, nutty, lime, spice, jam, pepper, sweet, tonka, terpene, camphor, spicy, cinnamon, fresh, floral, woody, natural, lavender, deep, spice, warm, floral, sassafrass, sweet, woody, anise, spicy, floral, sweet, fruity, mild, cherry, almond, herbal, woody, thyme, wood, medicine, dry, burnt, jasmine, mothball, animal, fishy, floral, moth ball, naphthelene, honey, fecal, waxy, bitter, fatty, cheese, creamy, odorless, butter, caramel, oily, creamy, sweet, pungent, strong, balsamic, spice, warm, woody, balsam, citrus, fat, waxy, floral, lily, aldehydic, soapy, green, curry, smoky, clove, peanut, spicy, bitter, storax, sweet, honey, balsam, floral, minty, cedar, balsamic, spice, herbal, fresh, sweet, woody, pine needle, pine, camphor, citrus, lime, dewy, rose, floral, fruit, pear, blossom, soapy, grapefruit, almond, medical, bitter, dry, bitter, hazelnut, chocolate, vegetable, musty, coffee, cocoa, earth, nutty, neroli, natural, citrus, sweet, magnolia, bitter, herbal, peach, sour, chocolate, ethereal, malt, fatty, aldehydic, orange, linden, mild, clove, fresh, waxy, floral, muguet, sweet, anise, lily, balsam, angelica, pear, grapefruit, bitter, musty, coffee, cocoa, nutty, almond, sulfurous, potato, onion, vegetable, sweet, soup, lemon, citrus, bitter, sweet, sharp, mint, magnolia, jasmine, fresh, waxy, floral, oily, melon, petal, phenolic, balsamic, mild, bitter, fir needle, woody, herbal, camphor, bitter, oily, fatty, faint, cinnamon, oil, alcoholic, ethereal, resin, fusel, sweet, fruity, flower, green, lemon, citrus, orange, herbal, woody, terpene, citric, camphor, floral, sweet, lavender, petitgrain, spice, herbal, rosemary, minty, phenolic, green, woody, pine, camphor, grassy, very mild, bitter, odorless, sweet, lemon, gasoline, tropical, terpene, turpentine, herbal, woody, bitter, oily, lime, sour, odorless, mild, mint, licorice, fennel, basil, minty, odorless, citrus, warm, herb, floral, sweet, flower, citrus, fruit, sweet, woody, bergamot, lavender, green, shrimp, ammoniacal, coconut, waxy, fatty, soapy, cognac, menthol, camphor, peppermint, deep, herbal, raspberry, bitter, camphoraceous, sweet, honey, balsam, storax, cinnamon, sweet, wood, woody, green, waxy, rose, lavender, green, floral, bitter, apple, fresh, banana, sweet, fruity, grassy, green, wood, woody, green, mint, citrus, peppery, spice, herbal, turpentine, woody, terpene, green, dewy, rose, waxy, floral, aldehydic, mustard, pungent, mint, terpentine, lemon, citrus, terpene, medicinal, herbal, woody, bitter, camphoraceous, cooling, tobacco, mentholic, peppermint, camphoraceous, minty, mild, sweet, woody, tonka, plastic, citrus, soap, orange peel, tallow, waxy, floral, sweet, aldehydic, bitter, malt, fresh, floral, pungent, aldehydic, green, citrus, lime, wax, herbal, sweet, bergamot, lavender, pine, solvent, citrus, spice, gasoline, fresh, woody, terpene, coconut, wax, fat, waxy, fatty, earthy, honey, soapy, pepper, apple, mushroom, citrus, musty, rubber, nutty, green, hazelnut, bitter, lemongrass, medical, chemical, almond shell, sweet, phenolic, bitter, potato, vegetable, tomato, fishy, musty, earthy, creamy, peanut, cooked potato, beef, lemon, citrus, soap, orange peel, fat, waxy, fatty, aldehydic, green, mild, sour, bitter, citrus, clean clothes, rose, waxy, fresh, mandarin, floral, soapy, bitter, oil, pineapple, balsamic, herbal, strawberry, oily, faint, sweet, balsam, cherry, almond, herb, cheese, orange, rose, fat, waxy, fatty, floral, sweet, clean, watery, moss, bitter, fresh, fatty, earthy, intensely, green, licorice, sweet, anise, balsam, mimosa, floral, earthy, sweet, woody, flower, pineapple, ethereal, sweet, anise, fruity, balsam, weedy, green, ethereal, pungent, tropical, metallic, spicy, green, lemon, lemon peel, sweet, citral, citrus, orange, fat, herbal, waxy, mandarin, sweet, fruity, aldehydic, metallic, green, fragrant, bread, woody, sweet, baked, almond, brown, sweet, pungent, fruity, cherry, nutty, almond, ethereal, acetone, ether, orange, coriander, rose, tallow, waxy, oily, fatty, earthy, floral, aldehydic, mushroom, green, butter, green bean, vegetable, earthy, beany, fruity, metallic, green, mint, lemon, citrus, orange, fresh, sweet, peppery, spice, balsamic, must, balsam, terpene, spicy, plastic, citrus, ozone, fat, herbal, fresh, wine-lee, rancid, fatty, aldehydic, green, harsh, turpentine, minty, fresh, earthy, sweet, woody, terpene, pine, camphor, solvent, apple, pear, ethereal, ethereal, ether, fruity, acetone, camphor, acidic, odorless, woody, sweet, balsam, nutty, almond, bitter, grapefruit peel, citrus, must, fresh, waxy, sweet, clean, aldehydic, soapy, flower, petal, balsam, balsamic, alkane, mild, wax, milky, waxy, creamy, fruity, balsam, lemon, citrus, orange, floral, sweet, woody, blueberry, bois de rose, lavender, flower, green"
